# PowerScope Version: V1.0
# Sample Rate (Hz): 6570.2604856450735
# Recording Started: 2025-10-05 22:11:37
# Number of Channels: 6
# Channel Information:
# CH1: Stream=Serial, Index=0
# CH2: Stream=Serial, Index=1
# CH3: Stream=Serial, Index=2
# CH4: Stream=Serial, Index=3
# CH5: Stream=Serial, Index=4
# CH6: Stream=Serial, Index=5
#
Sample,Time_s,CH1,CH2,CH3,CH4,CH5,CH6
64,0.009763,74.000000,152.000000,240.000000,1679.000000,1776.000000,2019.000000
65,0.009921,22.000000,169.000000,67.000000,1606.000000,1709.000000,1950.000000
66,0.010074,165.000000,50.000000,13.000000,1644.000000,1742.000000,2008.000000
67,0.010227,140.000000,1.000000,108.000000,1747.000000,1838.000000,2027.000000
68,0.010379,114.000000,25.000000,61.000000,1523.000000,1633.000000,1934.000000
69,0.010532,48.000000,199.000000,240.000000,1732.000000,1831.000000,2015.000000
70,0.010685,119.000000,15.000000,143.000000,1702.000000,1798.000000,2028.000000
71,0.010837,101.000000,62.000000,100.000000,1592.000000,1697.000000,1957.000000
72,0.010990,83.000000,124.000000,199.000000,1497.000000,1604.000000,1944.000000
73,0.011142,46.000000,199.000000,145.000000,1744.000000,1838.000000,2035.000000
74,0.011295,122.000000,10.000000,51.000000,1660.000000,1759.000000,2020.000000
75,0.011448,107.000000,44.000000,152.000000,1748.000000,1843.000000,2036.000000
76,0.011600,89.000000,103.000000,110.000000,1525.000000,1641.000000,1943.000000
77,0.011753,112.000000,30.000000,234.000000,1483.000000,1708.000000,2006.000000
78,0.011906,87.000000,110.000000,188.000000,1655.000000,1786.000000,2046.000000
79,0.012058,70.000000,164.000000,145.000000,1537.000000,1685.000000,1976.000000
80,0.012211,55.000000,193.000000,246.000000,1441.000000,1603.000000,1955.000000
81,0.012364,29.000000,184.000000,199.000000,1665.000000,1814.000000,2064.000000
82,0.012516,19.000000,161.000000,52.000000,1576.000000,1732.000000,2014.000000
83,0.012669,177.000000,89.000000,7.000000,1457.000000,1639.000000,1977.000000
84,0.012821,110.000000,35.000000,186.000000,1544.000000,1710.000000,1988.000000
85,0.012974,100.000000,65.000000,39.000000,1459.000000,1635.000000,1946.000000
86,0.013134,83.000000,124.000000,248.000000,1574.000000,1743.000000,2033.000000
87,0.013287,73.000000,155.000000,101.000000,1654.000000,1814.000000,2065.000000
